partner_id,gender,age_group,city_tier,trips_weekly,hours_online_per_week,avg_rating,on_time_pct,cancel_rate,safety_incidents,weekly_earnings,earnings_volatility,cashless_share,nova_score
47,M,46-60,A,73,46.770536694182056,4.685922292859944,0.9126438665317039,0.04448354427285319,0,546.1671213263867,0.08755491548244927,0.8867401632705265,620
48,M,18-25,C,48,43.26379554389255,5.0,0.7981304678515897,0.027496697384072205,0,366.34307624707117,0.32909558377654896,0.7719885771589952,527
49,M,26-35,A,57,46.969315156798636,4.751362000030477,0.8602048781111233,0.13491078163606013,0,449.5919013101252,0.22691193905406104,0.7334346609041544,562
50,M,26-35,C,50,29.35548651717072,4.6534223824872285,0.9531207078130164,0.10368372149806654,0,350.2850381799509,0.05290901179669266,0.6560624213763928,579
51,M,26-35,A,68,59.907960886110445,4.650389661246405,0.9421833194773864,0.0707055908488305,0,507.1769060504735,0.1463704327996489,0.7960577159712423,603
52,M,26-35,B,71,49.105024136636416,4.555991651249132,0.8728906526518697,0.06977325747720134,0,568.9890393968135,0.054448317671484614,0.7542148602050417,603
53,F,26-35,B,49,39.12003109000874,4.876786404452058,0.9407936784732533,0.09413951085489565,0,381.178854045082,0.24096650928359442,0.5313459120788326,558
54,M,46-60,A,68,32.64546854035355,4.739389688292137,0.8808893463924058,0.08823189858135029,0,411.6836955483447,0.17825738380206538,0.8483822438912763,580
55,F,26-35,C,54,52.77153410432249,5.0,0.9524981935206709,0.010408999675360974,0,454.5745330477265,0.18032622201301707,0.495428983453224,598
56,F,36-45,A,64,30.982302179361437,4.845831409463967,0.9166180463269087,0.0574738406190402,0,506.9141401660351,0.11261062191238848,0.8753925298827057,631
57,M,18-25,B,64,64.6136482479207,4.876090447408591,0.9061438424803836,0.054355101313870245,0,499.4173119805205,0.1547548810988917,0.5709167761577459,600
58,M,26-35,B,45,35.86795060100669,4.707684275388598,0.9064468188136273,0.07265696024494053,0,568.0053579401297,0.24297472804903608,0.5379847751868578,606
59,M,26-35,B,56,59.20505214605611,4.584745449273977,0.995,0.09512381829425438,0,489.2813034234865,0.2644665721478221,0.7160746016283107,600
60,M,18-25,A,76,40.15526214927284,4.625362852950623,0.8916599240238825,0.00829759407628066,0,715.5177948109415,0.24771368959558154,0.7729292686095925,649
61,M,26-35,A,69,57.80746708820308,4.548212958416637,0.9367279333133189,0.025025728433098696,0,566.0075159622794,0.05582665083871201,0.7945245299714527,611
62,M,36-45,A,61,34.65131493173484,4.886959207972714,0.9596684354746187,0.04904764890393121,0,639.7913009153034,0.165110717876425,0.6550169974502129,670
63,M,36-45,A,75,42.188363785467,4.6982627219131174,0.8808793575455534,0.06713035379399684,0,538.4686852725926,0.20026507658224757,0.8083944806919139,603
64,F,26-35,A,58,50.047493301705664,4.89207508093881,0.8390871081297034,0.09596376840021122,0,556.7537052827735,0.12121795285189906,0.8215788352406588,618
65,M,26-35,C,55,48.62077136695822,4.768387160346135,0.8869450928518914,0.12143970258683472,0,351.6977197772612,0.047278741847252614,0.8231998627640664,556
66,M,26-35,B,50,53.00761833657884,4.702077246634434,0.9519731600554434,0.06640937400346954,0,400.7930758836315,0.07706955629983299,0.745904581057168,593
67,M,18-25,B,67,37.125278851984355,4.577359574754717,0.9070998274135859,0.09141442728874954,0,488.3033534820885,0.2999819814961948,0.6360850983714536,566
68,M,18-25,A,71,42.84808372849811,4.799644909944402,0.9150447034319489,0.0858048743479725,0,463.2746053620922,0.08468308949285253,0.5914112911766725,597
69,M,36-45,A,83,54.48388575998071,4.726405047532981,0.9793384825646041,0.07475007453210392,0,616.1455975978035,0.18380485587180803,0.5657634725288947,675
70,M,46-60,B,59,34.94744498281049,4.884927589193313,0.879082846025257,0.069771571804854,0,464.0654015134635,0.16749320039915203,0.7652169383311526,619
71,M,18-25,A,67,47.72541061118402,4.64548839861866,0.9197622344426942,0.05451404184678489,0,587.3392941449406,0.1676974657814926,0.8910478418726635,624
72,M,26-35,A,68,39.8083976022225,4.845616166024555,0.8491079479341591,0.034038020081921624,0,457.9787663153316,0.154411082654589,0.6553691377635373,581
73,F,36-45,B,57,44.058741065826055,4.9949272624333805,0.9342359530362898,0.037552214016348326,0,545.0472464053428,0.24313096107608234,0.7557369037295396,576
74,M,36-45,B,58,42.845502164144484,4.790083387198958,0.9302753537284205,0.08141245470494017,0,631.8971615650684,0.182849033524159,0.6956093847255352,624
75,M,26-35,C,46,34.117168492150356,4.862193717911282,0.951376814908361,0.0753673246915426,0,537.5553134367542,0.12994762720352335,0.7605574549786962,598
76,M,26-35,A,64,39.39306807877552,4.8373835369266365,0.8651371934164307,0.05553477866479443,0,722.6320550104658,0.18410750593881567,0.9012507676473636,644
77,M,36-45,B,49,43.44932252076706,5.0,0.9038056209613792,0.09544425878890428,0,471.4066345395668,0.07779646689517634,0.4027302299379699,596
78,M,36-45,A,59,40.97276001287871,4.805334063254074,0.8554764819770907,0.06448532498733678,0,519.8521324663891,0.2180755677803113,0.9244988577428483,608
79,M,18-25,A,69,57.72735949794239,4.858593827760326,0.9130946656922101,0.038104625386443144,0,613.2446008889531,0.1255226519731054,0.8153075748370644,616
80,F,46-60,B,58,52.09955556816361,4.743758595722607,0.9928894037720613,0.0630050579290945,0,467.3513196211793,0.13013030777842466,0.645610162710321,610
81,M,18-25,A,60,44.89980498493497,4.633841719647586,0.9039623622013009,0.0946188954162398,0,404.06284232579384,0.22104380296647744,0.7095152027670182,568
82,M,36-45,B,57,34.368538172804975,4.5675736471478245,0.8499040087877548,0.04079460243472245,0,555.040458666425,0.14741472683145945,0.7244446365845678,590
83,F,18-25,B,58,33.759769081020465,4.939238609845502,0.8848060367512592,0.07727830452612632,0,467.6758402360702,0.15191870763505044,0.6494751695074418,623
84,M,18-25,A,66,61.73811035280411,4.601146094298619,0.8430524083291395,0.06533722766818348,0,440.4750140616877,0.27341041882517453,0.6488194911394674,582
85,M,18-25,C,47,31.901145639278056,4.8566796749675145,0.847411356059639,0.05367570325891639,0,370.1960074532741,0.1021449813142214,0.5609083285665104,536
86,M,26-35,B,61,43.138596181505235,4.812802494557564,0.9541493473747701,0.06069943438881527,0,476.20888703746937,0.21987080013701987,0.5743773269552445,607
87,F,26-35,B,67,45.609487143486795,4.890467801734359,0.8518858381318949,0.019349509736640364,0,508.405764050165,0.2559619221856783,0.9085195825183835,570
88,M,18-25,B,44,38.88676348516694,4.666393196612517,0.9260164295177439,0.08128920582471999,0,458.82682476858963,0.27335177591773163,0.727826674137863,572
89,M,26-35,C,61,31.977962354226406,4.631790512827519,0.9218871337941288,0.02855801049807922,0,560.5666783330345,0.3541216015073809,0.975398032873001,611
90,M,26-35,A,57,34.151033609935126,4.805555775714963,0.8916235875453333,0.1036731165166837,0,435.87405842374596,0.12862878092174704,0.8319506918501685,590
91,M,36-45,B,62,36.534949976959716,4.706948749018873,0.9325674990028888,0.06624082730897435,0,483.4677453034908,0.11056513333638947,0.8024471555751121,607
92,M,36-45,B,64,34.90507130902221,4.566945749509058,0.8755169245326372,0.05084559030292178,0,426.08807338094914,0.245377236112734,0.5713752626259319,589
93,M,36-45,A,64,55.277203931809304,5.0,0.9644422200413523,0.1028167798416936,0,667.5743013556851,0.2552192891093886,0.7494507489223512,655
94,M,18-25,A,76,41.90874006527371,4.637688775105619,0.8946829850713836,0.03104453467325697,0,539.4764009555217,0.11674122817940535,0.7901767830151198,606
95,M,26-35,C,58,36.76198898852388,4.600155093202248,0.8994816555696558,0.04856951282493986,0,408.3744638112764,0.21878435929836923,0.5707851905238348,571
96,M,46-60,B,48,43.069580438672055,4.708879634773093,0.8875324497301447,0.021122600139050637,0,554.8241060557172,0.3979365488559294,0.6549278562835391,568
97,M,18-25,B,60,48.679559052949145,4.937928785373687,0.9544736782203883,0.1092851891299833,0,604.605859907729,0.1883731525045172,0.7788206965330857,618
98,M,26-35,B,67,38.5538029394242,4.4277897435314575,0.951422195675445,0.1226859708977959,0,632.5730007198381,0.25387990439318986,0.7815663717562449,621
99,M,46-60,C,53,51.01981295175915,4.922682542186318,0.7847149417038101,0.023292180654238246,0,286.9353868690358,0.3061389908479943,0.4728276614226888,523
100,F,46-60,C,47,29.28853225643441,4.608078974781554,0.924912146813909,0.05202682678150002,0,454.4476987284837,0.3802996919683084,0.6997237262020546,553
101,F,26-35,B,70,53.71303632116414,4.793678786016238,0.8387703584087209,0.06709440744524156,0,536.959940297094,0.1996559705036541,0.7974221255423872,567
102,M,36-45,A,80,41.91047660227779,4.65659895574143,0.914933914390542,0.044529175889740424,0,591.6457776285292,0.2802426836680442,0.6973612423801492,581
103,M,26-35,A,66,41.519876482482715,5.0,0.918191298912665,0.06606054981571306,0,570.8582894434169,0.11692047069912724,0.6831320679008508,624
104,F,36-45,B,49,35.06985675535147,4.764293012996352,0.8957970885234081,0.07197206174869078,0,577.0907848114612,0.18199047555789546,0.7818056796090022,607
105,F,18-25,C,48,29.721498694865865,4.638986267448814,0.9378409611049459,0.08822655580534915,0,503.88008429879244,0.14428380200801746,0.29976777032998175,568
106,F,18-25,B,56,25.33328064184609,4.703236301724346,0.9536038283039767,0.0431710351813816,0,559.4376242657602,0.029172746628049973,0.7202918258709929,609
107,M,26-35,A,62,34.37223331050214,4.764245561235253,0.8825267103590355,0.07477978950732732,0,573.9877068710089,0.05175729817421748,1.0,624
108,M,18-25,A,71,47.876732206023526,4.78105149116433,0.886110149875134,0.03101617731272408,0,769.2002161653934,0.2144026058263426,0.41650969605929034,685
109,M,36-45,B,65,32.38721577695338,4.817814372528198,0.9212015223173742,0.05514426251905281,0,468.947058261022,0.21597511407863354,0.8352024813341022,596
110,F,26-35,C,35,26.51551814275691,4.739789308847653,0.8278133959716922,0.03039746017469937,0,249.64327956142415,0.09666971359522311,0.7362191426875604,542
111,M,36-45,A,72,32.909346891622135,4.548225637508693,0.9033511012406161,0.05186355425645294,0,555.8542587374442,0.3045908289705513,0.5786658839108332,595
112,M,36-45,B,52,38.15166682495685,4.695759849364752,0.9826038916693679,0.05681787251276077,0,479.30770831273185,0.09120147223103736,0.7928684400672429,616
113,M,26-35,B,66,38.54498777337647,4.8433987562261285,0.8482849717394643,0.09530738070215986,0,615.9706483060178,0.20058151676067767,0.8601987854536636,643
114,M,36-45,C,52,40.71107091757236,4.64631757904315,0.8981941320343296,0.07222219783041196,0,380.96686460112846,0.14678084341237563,0.4952735921127103,549
115,M,26-35,A,65,52.32606346051878,4.852917191954757,0.8933849593534943,0.07117509699311451,0,604.7545562924713,0.18855584193740968,0.6809885925819916,624
116,F,26-35,C,56,54.49254438091489,4.753157719943672,0.995,0.07132643914508455,0,307.63423667777886,0.25188266132902837,0.6636549954897417,534
117,F,18-25,B,61,62.05462505389322,4.717738976485027,0.8937069396665174,0.005626734667823541,0,586.1205217491092,0.24058736130485223,0.8568738205098279,628
118,F,36-45,B,65,25.750926833014315,4.931121583880938,0.8990094557320752,0.007591612194849969,0,508.8071502287525,0.23662738110171638,0.6442434237137065,620
119,M,36-45,A,60,33.44116079663665,4.4892802833423575,0.8684617536099135,0.060439670998575876,0,528.1527339218596,0.22641245019333722,0.7741072973745051,600
120,M,46-60,B,63,48.98485157059754,4.649901865260302,0.9222660901783626,0.07685679964521418,0,679.7904560476466,0.0781804446605783,0.626914871112158,643
121,M,36-45,B,54,37.45968784474975,4.932464306451816,0.9299083527511843,0.06595404421839664,0,569.742101766859,0.27076237049997387,0.7234380679960772,589
122,M,46-60,A,65,50.60786469849232,5.0,0.8787090076190204,0.0415782307519965,0,474.6134403238572,0.09517692049894197,0.9265349500268738,600
123,M,18-25,B,52,44.07113430114827,5.0,0.9646361400360983,0.06679060641902893,0,465.10169915423785,0.17151727265200126,0.7348255572317174,599
124,M,46-60,B,57,57.79204210036799,4.756353329550746,0.9317531792144255,0.061687433978668174,0,717.987160900367,0.15189384629316324,0.669955712757341,661
125,M,26-35,B,53,52.42716113932686,4.815884606942332,0.9583949634382591,0.09687009746647121,0,644.7994268560045,0.20800986340981892,0.7154140624524052,640
126,M,26-35,A,75,52.61016626558981,4.87861417408535,0.9125932236080041,0.08419059945597418,0,663.4518660741567,0.14122278028995683,0.6679124217668899,671
127,M,26-35,B,76,37.881283913063044,4.947661290823743,0.9417592165445667,0.0453975641706909,0,370.2009083589203,0.16731915097478692,0.5807851100885806,565
128,M,26-35,A,58,41.02539154031728,4.796163790201215,0.908145175256296,0.0695022723845237,0,660.832773118305,0.3095094430647496,0.9484785241067886,602
129,M,26-35,C,57,38.94746542432644,4.88772233851691,0.9910840774745575,0.07978597858577227,0,381.4092611646968,0.0763797301452906,0.8892793452591683,550
130,M,18-25,C,53,26.94107856350093,4.816166070066679,0.9216132068685532,0.08623933186322043,0,539.0990244053013,0.17980268546388167,0.4091884067563484,581
131,M,18-25,A,69,56.71769255495533,4.831933591286256,0.92583769741575,0.11507794272371327,0,510.3731787278319,0.090869826858593,0.8614981292344897,627
132,F,26-35,A,71,49.45387308843212,4.616644614464988,0.9036879000489544,0.06365557105975152,0,617.7505114295245,0.23394797116532748,0.9002506860086958,598
133,M,36-45,A,64,38.54972875919062,4.702217942093566,0.8966018184763918,0.10306234412619555,0,506.37597675449916,0.12186169500184528,0.610364081527141,579
134,M,26-35,B,67,55.04592507459973,4.674384620288326,0.9360861037411914,0.03169750767069192,0,476.5211737732966,0.1830829152201414,0.6539542797781334,605
135,M,26-35,C,60,35.696323532528446,4.571665681963221,0.9609793729686358,0.0508697852634787,0,494.88671406917615,0.07402680528510733,0.5792135238255576,606
136,M,26-35,B,47,23.618655315447242,4.4970592163683625,0.8779720951044956,0.012425267489659159,0,351.29363401628257,0.2833231864955871,0.9861325464581443,525
137,F,26-35,A,70,52.073697528936144,4.690455875211177,0.9323289638588065,0.06953919620029207,0,775.6555328967636,0.18582319335378641,1.0,635
138,M,18-25,A,62,29.21439766884003,4.711217651034561,0.9304084745509558,0.088425718645765,0,469.08617528697664,0.19102124115182725,0.651035246184285,578
139,F,36-45,A,74,40.042245343760165,4.771355561404176,0.9463181758187805,0.0,0,490.73223078526377,0.24632492968107006,0.5757052644538345,614
140,M,18-25,C,62,44.0612304078376,4.834160676126021,0.8358251799069641,0.07464859102772523,1,499.536370273933,0.07988731789891433,0.7682167746472315,522
141,M,36-45,B,46,45.85465344738762,4.772618336540873,0.8653633650144507,0.09512631041695535,0,571.0149966129185,0.13079821530027702,0.7961526528182952,599
142,M,36-45,B,49,50.48401056203796,4.707063323370413,0.8451077739939049,0.0919171278901532,0,440.28526484050894,0.19360433292638515,0.8941590901669685,588
143,F,26-35,A,68,47.80851426267512,4.615931052633468,0.9264442213325873,0.03012416639896059,0,478.5251165192063,0.039040932543342566,0.6317295599414812,607
144,M,36-45,C,45,47.498925265620265,4.875560364625183,0.8659513315054844,0.10069359919276744,0,330.5977927615388,0.0476298651845912,0.7612957428675207,542
145,M,26-35,A,69,34.09248217943509,4.738326667406589,0.9005879440786626,0.06577913492156197,0,484.248336465086,0.114299013963533,0.6775537090172976,569
146,M,36-45,C,54,44.94243557267657,4.682531530748964,0.8566859738044577,0.09073112856749549,0,454.99526856688766,0.08872018855877725,0.7472428895809373,553
147,M,36-45,C,46,26.94450029949894,4.7164318576380095,0.8914381731416099,0.07322426327458917,0,405.2511797929296,0.1524909322463598,0.6548032932857935,592
148,M,36-45,B,52,57.6213769845283,4.636888347896794,0.8589948199390616,0.08543112101166386,0,510.5957717569519,0.22179457132844355,0.9860865204156426,584
149,M,36-45,C,61,27.97435176181776,4.670798911488334,0.9584954221016476,0.10277707400122334,0,475.21390134663056,0.23999042616689845,0.7226351173700081,557
150,M,36-45,A,71,38.53560161243655,4.6700312530064725,0.9505613984897789,0.05837933837692754,0,646.2665445077952,0.32475285187482644,0.7360407961236524,623
151,F,46-60,B,50,28.811257609732166,4.70289938729993,0.9215114640737176,0.08352314426690127,0,435.15475831109967,0.17819004448348943,0.7393106770305388,586
152,F,26-35,A,74,34.69833714134348,4.853963243522713,0.9133029035159715,0.10049306085770372,0,520.052597195674,0.19234870386947306,0.7659274160352019,620
153,M,36-45,B,62,42.13428415432051,4.811866810281091,0.8193156616848637,0.06500309505570726,0,509.6849958112424,0.17800955502912544,0.5583789127730523,603
154,M,36-45,A,46,36.71241901483998,4.976410611092117,0.8886896687252578,0.04323811503746455,0,516.5258492010103,0.20562146117385277,1.0,593
155,M,26-35,A,62,53.44246258145621,4.932559363816801,0.8831271728156314,0.08928129372467983,0,577.9009212205624,0.2118693926659846,1.0,638
156,M,46-60,A,69,44.26901015962796,5.0,0.937763710863276,0.10854632831828122,0,511.3044000127705,0.25376942075848435,0.7553175150343441,618
157,M,26-35,A,71,37.37090270771407,4.838273771950625,0.9575853584402186,0.10316350538452683,0,630.7884696034595,0.25345666012834905,0.8779833024727419,623
158,M,26-35,B,55,40.664180700259536,4.82946578335603,0.9332316331246544,0.09394963298986622,0,380.83827129683357,0.22154906182767575,1.0,569
159,F,18-25,B,56,54.19700457055936,4.67528763335443,0.9807519154563294,0.0016752724772474675,0,445.76730395140237,0.3008138257323049,0.8931654847138624,601
160,F,18-25,A,52,51.08870883284466,4.870702234624325,0.8867842882807455,0.05492501819011067,0,630.3685133276396,0.18214056477110846,0.7369652029153899,650
161,M,36-45,C,47,30.612291059845887,4.646382460493537,0.8817112059339678,0.05896198537023593,0,317.2382284830602,0.13107458405619365,0.6476859892422158,509
162,F,26-35,C,57,35.19348285860395,4.5282316713427635,0.9700939114451289,0.07284605175484359,0,524.6706588810413,0.14415639583297393,0.41954517738631797,594
163,M,26-35,A,69,46.74789818684371,4.982548508837163,0.9337108197269067,0.11614794503322014,0,452.02655328551276,0.1715332122446208,0.8884680580496171,592
164,M,18-25,B,48,45.533665860270396,4.557822760805099,0.9004500629728892,0.043583750993284126,0,330.855800684571,0.09330919351736702,0.8939983327701644,551
165,M,26-35,B,57,31.496184586012372,4.8146277684393395,0.995,0.13876606265789293,0,358.4217078977823,0.13093059510775007,0.894958863266606,565
166,M,36-45,B,62,49.491265893066235,4.618750294074996,0.9500865273691341,0.05753016110177274,0,506.32852421587063,0.08881298972785392,0.8181456375473525,628
167,F,36-45,A,87,33.09125859813604,4.929800143418775,0.9266727913032958,0.03349296059579666,0,673.4156387876488,0.20751682093079743,0.829328525842483,656
168,F,18-25,B,57,55.03826773856342,4.9382424978656045,0.883902759317635,0.09685614136935365,0,595.2704988305713,0.20830568793025184,0.5803062849072083,657
169,M,26-35,A,84,47.29449156249621,4.838976671113477,0.995,0.08572912800472378,0,707.8940143566267,0.038486797856610855,0.8247593359391987,658
170,F,26-35,A,86,30.680755493542787,4.94735470642143,0.9459498510444835,0.07649840733071203,0,682.5293797183921,0.1276734285406168,0.6915673210966036,656
171,M,26-35,B,63,36.70923298536588,4.7523005613746685,0.9230258459769214,0.04541633599581986,0,427.89840659208534,0.32601510767362085,0.7935251198482092,582
172,M,26-35,B,60,36.53539385471376,5.0,0.9538138213727545,0.08506084383217219,0,420.55719961340816,0.23038240062476037,0.6130587330001245,602
173,M,26-35,C,50,43.59876721302331,4.857924785023936,0.9580043928426988,0.04399326768298027,0,486.9623473291606,0.21634692024361557,0.7326342440543883,610
174,F,26-35,A,79,39.960231019875096,4.622517266056446,0.9588934992245448,0.03658262408059376,0,714.6112173978242,0.12685973942135914,0.9652372778552536,661
175,M,26-35,A,82,30.545110866182167,4.769241006311621,0.9773987787815972,0.056153895076872296,0,512.7530252076217,0.2029826043231386,0.8328012320364035,590
176,M,26-35,A,71,28.05740853777424,4.731524696067741,0.9491687179451342,0.03990109200296695,0,686.1899438480741,0.1788392065289554,0.8259842236455901,637
177,M,26-35,A,76,47.490233343978616,4.718836391234351,0.9573445291715115,0.09358244743635899,0,423.971315195413,0.11626029136284066,0.9078237655560926,591
178,F,36-45,A,77,44.86236864564163,4.508229115815119,0.8936181072578283,0.04415497404271208,0,622.5436329845024,0.14049684119412856,1.0,646
179,F,36-45,B,52,43.055375572050316,4.8048296816665195,0.995,0.06738631345156704,0,465.57638223904996,0.1422997265009161,0.7049802254058772,579
180,F,26-35,B,55,44.707318589604604,4.540137053158918,0.8553161670504649,0.04609405154977951,0,463.643871688857,0.06090613911951524,0.7929430812202684,568
181,F,36-45,B,46,35.810808524749646,4.365588907921643,0.9270688807248738,0.10812829434264998,0,463.85804610947395,0.07411461873625207,0.9315725610626042,603
182,F,36-45,A,71,43.839923577751435,4.702797953831505,0.8597616470910697,0.044516190769509224,0,503.6329340844784,0.16404249735410756,0.8737004398959107,572
183,M,18-25,A,61,67.38505564984268,4.637015951991164,0.9156935630582024,0.10376033308234262,0,592.1166386322087,0.11216015268935328,0.4996671806363709,602
184,M,26-35,B,53,53.74567120747143,4.617969448104668,0.8872353181065958,0.10555630755846757,0,481.75682086738396,0.155926549082982,0.6198134035507021,610
